Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total TCP Flow Time,Label
192.168.175.102-192.168.175.43-50532-80-6,192.168.175.102,50532,192.168.175.43,80,6,2024-11-07 02:41:26.613828,205733,7,6,88.0,4454.0,88.0,0.0,12.571428571428573,33.26087362481199,4019.0,0.0,742.3333333333333,1614.6351497061703,22077.15825851954,63.18869602834742,17144.416666666664,37250.879200016774,111041.0,0.0,205705.0,34284.166666666664,49205.321348068304,111041.0,0.0,204459.0,40891.8,51841.94454011153,112439.0,427.0,1,2,0,0,0,0,152,132,34.02468247680246,29.164013551544965,0.0,4019.0,349.38461538461536,1109.1447559915657,1230202.08974359,2,2,0,3,12,0,0,0,0.8571428571428571,349.38461538461536,12.571428571428571,742.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,205733,NeedManualLabel
192.168.175.102-192.168.175.43-50577-80-6,192.168.175.102,50577,192.168.175.43,80,6,2024-11-07 02:41:27.640043,202719,7,6,88.0,4454.0,88.0,0.0,12.571428571428573,33.26087362481199,4019.0,0.0,742.3333333333333,1614.6351497061703,22405.39860595208,64.12817742786812,16893.25,43771.18003918477,153372.0,0.0,202648.0,33774.666666666664,61145.789106582524,153372.0,0.0,202254.0,40450.799999999996,72914.67267772653,169488.0,1028.0,1,2,0,0,0,0,152,132,34.530557076544376,29.59762035132375,0.0,4019.0,349.38461538461536,1109.1447559915657,1230202.08974359,2,2,0,3,12,0,0,0,0.8571428571428571,349.38461538461536,12.571428571428571,742.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,202719,NeedManualLabel
192.168.175.102-192.168.175.43-50546-80-6,192.168.175.102,50546,192.168.175.43,80,6,2024-11-07 02:41:26.950014,551387,7,6,258.0,4463.0,258.0,0.0,36.857142857142854,97.51483403638062,4086.0,0.0,743.8333333333334,1644.2503965840076,8562.044444283236,23.576906963711515,45948.91666666666,126106.24092223935,433044.0,0.0,551323.0,91887.16666666666,173619.51153417828,434325.0,0.0,551163.0,110232.6,186802.22839356065,433044.0,852.0,1,2,0,0,0,0,152,132,12.695257595844662,10.881649367866853,0.0,4086.0,363.15384615384613,1125.0792450722338,1265803.3076923077,2,2,0,3,12,0,0,0,0.8571428571428571,363.15384615384613,36.857142857142854,743.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,551387,NeedManualLabel
192.168.175.102-192.168.175.43-50594-80-6,192.168.175.102,50594,192.168.175.43,80,6,2024-11-07 02:41:28.113342,217405,7,6,88.0,4454.0,88.0,0.0,12.571428571428573,33.26087362481199,4019.0,0.0,742.3333333333333,1614.6351497061703,20891.883811319887,59.79623283733125,18117.08333333333,40975.343997576114,108405.0,0.0,217364.0,36227.33333333333,54587.28094956431,110068.0,0.0,216502.0,43300.4,57291.852494922874,108405.0,1126.0,1,2,0,0,0,0,152,132,32.197971527793754,27.598261309537502,0.0,4019.0,349.38461538461536,1109.1447559915657,1230202.08974359,2,2,0,3,12,0,0,0,0.8571428571428571,349.38461538461536,12.571428571428571,742.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,217405,NeedManualLabel
192.168.175.102-192.168.175.43-50501-80-6,192.168.175.102,50501,192.168.175.43,80,6,2024-11-07 02:41:25.951333,469687,7,6,258.0,4463.0,258.0,0.0,36.857142857142854,97.51483403638062,4086.0,0.0,743.8333333333334,1644.2503965840076,10051.374638855237,27.67800684285492,39140.583333333336,103868.78430059405,355774.0,0.0,469661.0,78276.83333333334,142438.62868676696,357383.0,0.0,469372.0,93874.4,152563.56976945707,355774.0,519.0,1,2,0,0,0,0,152,132,14.90354214615265,12.774464696702271,0.0,4086.0,363.15384615384613,1125.0792450722338,1265803.3076923077,2,2,0,3,12,0,0,0,0.8571428571428571,363.15384615384613,36.857142857142854,743.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,469687,NeedManualLabel
192.168.175.102-192.168.175.43-50662-80-6,192.168.175.102,50662,192.168.175.43,80,6,2024-11-07 02:41:29.276360,2336612,7,6,258.0,4463.0,258.0,0.0,36.857142857142854,97.51483403638062,4086.0,0.0,743.8333333333334,1644.2503965840076,2020.4466980397258,5.563610903307866,194717.66666666666,634717.464612453,2206907.0,1.0,2336533.0,389422.1666666666,892222.5789856289,2207744.0,1.0,2336593.0,467318.6,973999.0931506559,2206907.0,425.0,1,2,0,0,0,0,152,132,2.995790486396543,2.5678204169113226,0.0,4086.0,363.15384615384613,1125.0792450722338,1265803.3076923077,2,2,0,3,12,0,0,0,0.8571428571428571,363.15384615384613,36.857142857142854,743.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,7.0,258.0,6.0,4463.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,2336612,NeedManualLabel
192.168.175.102-192.168.175.43-50602-80-6,192.168.175.102,50602,192.168.175.43,80,6,2024-11-07 02:41:28.334912,308977,7,6,259.0,4463.0,259.0,0.0,37.0,97.89279850938985,4086.0,0.0,743.8333333333334,1644.2503965840076,15282.69094463342,42.074329157186455,25748.083333333332,62703.41897080882,202278.0,0.0,308948.0,51491.333333333336,84724.32039424493,203745.0,0.0,308919.0,61783.799999999996,89756.61745910437,202278.0,383.0,1,2,0,0,0,0,152,132,22.655408007715785,19.418921149470673,0.0,4086.0,363.2307692307692,1125.0714906059789,1265785.858974359,2,2,0,3,12,0,0,0,0.8571428571428571,363.2307692307692,37.0,743.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,308977,NeedManualLabel
192.168.175.102-192.168.175.43-50616-80-6,192.168.175.102,50616,192.168.175.43,80,6,2024-11-07 02:41:28.605961,244762,7,6,258.0,4463.0,258.0,0.0,36.857142857142854,97.51483403638062,4086.0,0.0,743.8333333333334,1644.2503965840076,19288.12479061292,53.11281980045922,20396.833333333336,47664.46031628203,140432.0,0.0,244727.0,40787.833333333336,64130.05171810379,142423.0,0.0,244734.0,48946.8,67323.84407993946,140432.0,415.0,1,2,0,0,0,0,152,132,28.599210661785733,24.513609138673488,0.0,4086.0,363.15384615384613,1125.0792450722338,1265803.3076923077,2,2,0,3,12,0,0,0,0.8571428571428571,363.15384615384613,36.857142857142854,743.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,244762,NeedManualLabel
192.168.175.102-192.168.175.43-50647-80-6,192.168.175.102,50647,192.168.175.43,80,6,2024-11-07 02:41:29.049164,222996,7,6,88.0,4454.0,88.0,0.0,12.571428571428573,33.26087362481199,4019.0,0.0,742.3333333333333,1614.6351497061703,20368.078351181186,58.29700981183519,18583.0,57827.73943674123,201619.0,0.0,222944.0,37157.333333333336,80888.47338321243,201619.0,0.0,222833.0,44566.6,88274.2838957077,202037.0,769.0,1,2,0,0,0,0,152,132,31.39069759098818,26.90631222084701,0.0,4019.0,349.38461538461536,1109.1447559915657,1230202.08974359,2,2,0,3,12,0,0,0,0.8571428571428571,349.38461538461536,12.571428571428571,742.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,222996,NeedManualLabel
192.168.175.102-192.168.175.43-50493-80-6,192.168.175.102,50493,192.168.175.43,80,6,2024-11-07 02:41:25.609946,399629,7,6,88.0,4454.0,88.0,0.0,12.571428571428573,33.26087362481199,4019.0,0.0,742.3333333333333,1614.6351497061703,11365.541539778143,32.53017173428355,33302.41666666667,69883.54753895073,201173.0,0.0,399584.0,66597.33333333333,91896.44401752805,201173.0,0.0,398869.0,79773.8,95488.84267651378,204173.0,1008.0,1,2,0,0,0,0,152,132,17.51624631846037,15.013925415823175,0.0,4019.0,349.38461538461536,1109.1447559915657,1230202.08974359,2,2,0,3,12,0,0,0,0.8571428571428571,349.38461538461536,12.571428571428571,742.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,399629,NeedManualLabel
